species_id,name_nl,xp_base,difficulty,name_latin,water_set,set_group,advice_group,angling_group,rarity,is_protected_nl,region_set,is_core_sport,is_collectible,card_style,habitat,life_history_notes,distribution_nl_notes,identification_notes,record_nl,environment,image_ref,data_source
nl-haring,Haring,10,1,Clupea harengus,zout,pelagisch,pelagisch,pelagisch,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-haringhaai,Haringhaai,10,1,Lamna nasus,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-harnasmannetje,Harnasmannetje,10,1,Agonus cataphractus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-heek,Heek,10,1,Merluccius merluccius,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-heilbot,Heilbot,10,1,Hippoglossus hippoglossus,zout,platvis,platvis,platvis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-hondshaai,Hondshaai,10,1,Scyliorhinus canicula,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-horsmakreel,Horsmakreel,10,1,Trachurus trachurus,zout,pelagisch,pelagisch,pelagisch,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-houting,Houting,15,3,Coregonus oxyrinchus,zoet,witvis,witvis,witvis,rare,yes,NL,yes,yes,style_rare,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-kabeljauw,Kabeljauw,10,1,Gadus morhua,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-kathaai,Kathaai,10,1,Scyliorhinus stellaris,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-kesslers-grondel,Kesslers grondel,3,1,Ponticola kessleri,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-kleine-marene,Kleine marene,20,1,Coregonus albula,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-kleine-modderkruiper,Kleine modderkruiper,5,3,Cobitis taenia,zoet,witvis,witvis,witvis,rare,yes,NL,yes,yes,style_rare,,,,,12 cm,fresh,SoortenDash_Images/34.Foto.214351.jpg,sportvisserij_nl + bestaande_db
nl-kleine-pieterman,Kleine pieterman,10,1,Echiichthys vipera,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-kliplipvis,Kliplipvis,10,1,Ctenolabrus rupestris,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-knorrepos,Knorrepos,10,1,Micropogon undulatus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-kolblei,Kolblei,5,1,Blicca bjoerkna,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,46 cm,fresh,SoortenDash_Images/23.Foto.214459.jpg,sportvisserij_nl + bestaande_db
nl-kongeraal,Kongeraal,10,1,Conger conger,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-koolvis,Koolvis,10,1,Pollachius virens,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-koornaarvis,Koornaarvis,10,1,Atherina presbyter,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-kopvoorn,Kopvoorn,10,2,Squalius cephalus,zoet,witvis,witvis,witvis,uncommon,no,NL,yes,yes,style_uncommon,,,,,59 cm,fresh,SoortenDash_Images/17.Foto.214149.jpg,sportvisserij_nl + bestaande_db
nl-kroeskarper,Kroeskarper,25,2,Carassius carassius,zoet,witvis,karper,witvis,uncommon,no,NL,yes,yes,style_uncommon,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-kruiskarper,Kruiskarper,25,2,karper-giebel hybride,zoet,witvis,karper,witvis,uncommon,no,NL,yes,yes,style_uncommon,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-kwabaal,Kwabaal,25,2,Lota lota,zoet,roofvis,roofvis,roofvis,uncommon,no,NL,yes,yes,style_uncommon,,,,,60 cm,fresh,SoortenDash_Images/20.Foto.214130.jpg,sportvisserij_nl + bestaande_db
nl-lange-schar,Lange schar,10,1,Hippoglossoides platessoides,zout,platvis,platvis,platvis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-leng,Leng,10,1,Molva molva,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-maanvis,Maanvis,10,1,Mola mola,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-makreel,Makreel,10,1,Scomber scombrus,zout,pelagisch,pelagisch,pelagisch,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-marmergrondel,Marmergrondel,3,1,Proterorhinus semilunaris,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-mul,Mul,10,1,Mullus surmuletus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-paganelgrondel,Paganelgrondel,10,1,Gobius paganellus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-paling,Paling,9,1,Anguilla anguilla,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-pijlstaartrog,Pijlstaartrog,10,1,Dasyatis pastinaca,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-pitvis,Pitvis,10,1,Callionymus lyra,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-pollak,Pollak,10,1,Pollachius pollachius,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-pontische-stroomgrondel,Pontische stroomgrondel,3,1,Neogobius fluviatilis,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-pos,Pos,5,1,Gymnocephalus cernua,zoet,roofvis,roofvis,roofvis,common,no,NL,yes,yes,style_common,,,,,20 cm,fresh,SoortenDash_Images/31.Foto.214316.jpg,sportvisserij_nl + bestaande_db
nl-puitaal,Puitaal,10,1,Zoarces viviparus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-regenboogforel,Regenboogforel,25,2,Oncorhynchus mykiss,zoet,roofvis,roofvis,roofvis,uncommon,no,NL,yes,yes,style_uncommon,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-reuzenhaai,Reuzenhaai,10,1,Cetorhinus maximus,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-rietvoorn,Rietvoorn,7,1,Scardinius erythrophthalmus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-rivierdonderpad,Rivierdonderpad,5,3,Cottus perifretum,zoet,roofvis,roofvis,roofvis,rare,yes,NL,yes,yes,style_rare,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-riviergrondel,Riviergrondel,3,1,Gobio gobio,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,16 cm,fresh,SoortenDash_Images/24.Foto.214250.jpg,sportvisserij_nl + bestaande_db
nl-rivierprik,Rivierprik,15,3,Lampetra fluviatilis,zoet,witvis,witvis,witvis,rare,yes,NL,yes,yes,style_rare,,,,,,fresh,SoortenDash_Images/15.Foto.214027.jpg,sportvisserij_nl + bestaande_db
nl-rode-poon,Rode poon,10,1,Chelidonichthys lucerna,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-roofblei,Roofblei,20,2,Leuciscus aspius,zoet,roofvis,roofvis,roofvis,uncommon,no,NL,yes,yes,style_uncommon,Het oorspronkelijke leefgebied van roofblei strekt zich van Oost-Duitsland uit tot aan de Aral Zee. In Duitsland is roofblei in het laatste kwart van de 20e eeuw uitgezet ten behoeve van de hengelsport en heeft zich vanuit hier waarschijnlijk naar Nederland verspreid. De eerste Nederlandse waarneming werd in 1984 in de Roer gedaan en betrof in Duitsland uitgezette dieren. Tegenwoordig komt de soort in alle grote Nederlandse rivieren en de hiermee verbonden wateren zoals meren en kanalen voor.,"Roofblei is een gedeeltelijk stromingsminnende soort. Jonge dieren voeden zich met kleine ongewervelden zoals aasgarnaaltjes, vlokreeftjes en insectenlarven. Vanaf 30 centimeter staat hoofdzakelijk vis op het menu, waarbij regelmatig in kleine groepen wordt gejaagd net onder het wateroppervlak.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001035,De roofblei (Leuciscus aspius) behoort tot de familie van de karperachtigen (Cyprinidae) en heeft een langgerekt zijdelings afgeplat lichaam met zilverkleurige flanken. Kenmerkend is de grote bovenstandige bek met een puntig onderkaak die in een kuiltje in de bovenkaak valt. Roofblei kan tot 87 cm lang worden. Gelijkende karperachtigen zoals winde en alver hebben een kleinere bek zonder kuiltje in de bovenkaak. Spiering heeft een vetvin en ruikt naar komkommer.,87 cm,fresh,SoortenDash_Images/18.Foto.214044.jpg,sportvisserij_nl + bestaande_db
nl-russische-steur,Russische steur,50,5,Acipenser gueldenstaedtii,zoet,witvis,witvis,witvis,legendary,no,NL,yes,yes,style_legendary,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-ruwe-haai,Ruwe haai,10,1,Galeorhinus galeus,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-schar,Schar,10,1,Limanda limanda,zout,platvis,platvis,platvis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-schelvis,Schelvis,10,1,Melanogrammus aeglefinus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-schol,Schol,10,1,Pleuronectes platessa,zout,platvis,platvis,platvis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-karper,Schubkarper,14,2,Cyprinus carpio,zoet,witvis,karper,witvis,common,no,NL,yes,yes,style_common,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-serpeling,Serpeling,8,3,Leuciscus leuciscus,zoet,witvis,witvis,witvis,rare,yes,NL,yes,yes,style_rare,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-siberische-steur,Siberische steur,50,5,Acipenser baerii,zoet,witvis,witvis,witvis,legendary,no,NL,yes,yes,style_legendary,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-slijmvis,Slijmvis,10,1,Lipophrys pholis,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-smelt,Smelt,10,1,Osmerus eperlanus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-sneep,Sneep,15,3,Chondrostoma nasus,zoet,witvis,witvis,witvis,rare,yes,NL,yes,yes,style_rare,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-snoek,Snoek,10,1,Esox lucius,zoet,roofvis,roofvis,roofvis,common,no,NL,yes,yes,style_common,Snoek komt over het gehele Noordelijk Halfrond voor in gebieden waar geen tropisch of sub-tropisch klimaat heerst. Met uitzondering van Griekenland en AlbaniÃ« komt de soort overal in Europa voor. In Nederland is de snoek te vinden in vrijwel elk watertype.,"De snoek heeft een voorkeur voor heldere, stilstaande tot langzaam stromende wateren met veel oever- en onderwaterplanten. Met name voor de overleving van de jongere levensstadia die beschutting nodig hebben is watervegetatie van groot belang. In Nederland komt de soort in vrijwel alle watertypen voor. Tot een centimeter of tien eten snoeken zoÃ¶plankton en macrofauna, daarna hoofdzakelijk vis. Naast andere vissen eten snoeken eigenlijk alles wat in het water zwemt en in hun bek past. Ook amfibieÃ«n, jonge vogels en kleine zoogdieren behoren tot de prooidieren.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001117,"De snoek (Esox lucius) behoort tot de familie van de snoeken (Esoxidae) en heeft een torpedovormig lichaam met een lange kop en een grote brede bek met scherpe tanden. Het lichaam heeft een groen tot grijsbruine kleur met een patroon van gele tot gouden vlekken die vaak dwarsbanden vormen. De maximale lengte bedraagt circa 140 centimeter. Het onderscheid met snoekbaars kan gemaakt worden doordat deze soort twee rugvinnen heeft, snoek heeft Ã©Ã©n rugvin.",138 cm,fresh,SoortenDash_Images/7.Foto.213533.jpg,sportvisserij_nl + bestaande_db
nl-snoekbaars,Snoekbaars,15,2,Sander lucioperca,zoet,roofvis,roofvis,roofvis,common,no,NL,yes,yes,style_common,Het oorspronkelijke leefgebied van snoekbaars strekt zich vanaf de Elbe uit tot Centraal-AziÃ« inclusief het stroomgebied van de Donau en de stroomgebieden rondom de Oostzee. Door uitzettingen ten behoeve van de visserij komt de soort tegenwoordig ook in veel andere stroomgebieden voor. In Nederland is de soort vanaf het begin van de 20e eeuw massaal uitgezet.,"Snoekbaars heeft een voorkeur voor relatief diep troebel water zonder waterplanten in de midden en benedenlopen van rivieren en grotere stilstaande wateren. In Nederland komt snoekbaars in meren, plassen, rivieren en kanalen voor. De jonge dieren leven van dierlijk plankton. Vanaf een lengte van ongeveer 10 centimeter schakelen ze volledig over op vis. Snoekbaars is lichtschuw en jaagt nabij de bodem.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001309,"Snoekbaars (Sander lucioperca) is een roofvis die behoort tot de familie van de baarzen (Percidae) en heeft een langgerekt lichaam met twee rugvinnen een spitse kop en grote scherpe tanden. De flanken zijn lichtgrijs tot zilverkleurig met donkere verticale strepen. Snoekbaars kan een lengte van 130 centimeter bereiken, maar wordt zelden langer dan 100 centimeter. Van de soorten die gelijkenis vertonen heeft baars een donkere vlek in de eerste rugvin, snoek en pos hebben Ã©Ã©n aaneengesloten rugvin.",106 cm,fresh,SoortenDash_Images/3.Foto.213548.jpg,sportvisserij_nl + bestaande_db
nl-snotolf,Snotolf,10,1,Cyclopterus lumpus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-spiegelkarper,Spiegelkarper,15,2,Cyprinus carpio carpio,zoet,witvis,karper,witvis,uncommon,no,NL,yes,yes,style_common,"Oorspronkelijk komt karper uit stroomgebieden rond de Kaspische Zee, Zwarte Zee en het Aralmeer. De soort vormt al eeuwen een belangrijke bron van voedsel. Karpers werden hiervoor in vijvers gehouden, gekweekt en getransporteerd waardoor de soort zich wereldwijd verspreid heeft. Archeologische vondsten wijzen erop dat de soort al vanaf de 14e eeuw in Nederland voorkomt.","Karpers kunnen in vrijwel alle watertypen voorkomen van de grote rivieren, meren en kanalen tot in bredere sloten en vijvers. Karper woelt met de uitstulpbare bek de bodem om op zoek naar waterdiertjes als het warmer is wordt er soms ook aan het wateroppervlakte naar voedsel gezocht. Deze soort komt in Nederland voor in vrijwel alle verschillende watertypen.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001099,"Karper (Cyprinus carpio) is een langgerekte kaperachtige (Cyprinidae), kweekvarianten hebben doorgaans een hogere rug. Karpers zijn van nature volledig beschubd, maar sommige kweekvarianten hebben slechts enkele (spiegelkarper en rijenkarper) of helemaal geen schubben (lederkarper). De flanken zijn brons tot bruinkleurig maar er zijn ook oranje, gele, witte en zwarte kweekvarianten (o.a. koikarpers). Jonge karpers hebben vaak een donkere vlek op de staartwortel. De soort kan tot circa 120 centimeter lang worden. Het onderscheid met de gelijkende soorten kroeskarper en giebel is te maken doordat deze soorten geen bekdraden hebben, karper heeft er vier: twee korte bekdraden op de bovenlip en twee langere bekdraden in de mondhoek. Jonge zeelten vertonen enige gelijkenis met jonge karper. Zeelt heeft echter kleine nauwelijks zichtbare schubben en een korte rugvin (12-13 vinstralen).",108 cm (31.4 kg),fresh,SoortenDash_Images/5.Foto.213048.jpg,sportvisserij_nl + bestaande_db
nl-spiering,Spiering,10,1,Osmerus eperlanus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-steenbolk,Steenbolk,10,1,Trisopterus luscus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-stekelrog,Stekelrog,10,1,Raja clavata,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-sterlet,Sterlet,10,1,Acipenser ruthenus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-tarbot,Tarbot,10,1,Scophthalmus maximus,zout,platvis,platvis,platvis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-tiendoornige-stekelbaars,Tiendoornige stekelbaars,8,1,Pungitius pungitius,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,6 cm,fresh,SoortenDash_Images/33.Foto.214340.jpg,sportvisserij_nl + bestaande_db
nl-tong,Tong,10,1,Solea solea,zout,platvis,platvis,platvis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-tongschar,Tongschar,10,1,Microstomus kitt,zout,platvis,platvis,platvis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-trekkervis,Trekkervis,10,1,Balistes capriscus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-vetje,Vetje,5,1,Leucaspius delineatus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-vijfdradige-meun,Vijfdradige meun,10,1,Ciliata mustela,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-vlagzalm,Vlagzalm,25,1,Thymallus thymallus,zoet,roofvis,roofvis,roofvis,common,no,NL,yes,yes,style_common,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-vleet,Vleet,10,1,Raja batis,zout,haai/rog,haai/rog,haai/rog,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-vorskwab,Vorskwab,10,1,Raniceps raninus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-wijting,Wijting,10,1,Merlangius merlangus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-winde,Winde,10,2,Leuciscus idus,zoet,witvis,witvis,witvis,uncommon,no,NL,yes,yes,style_common,"Winde komt in een groot deel van Europa voor, maar niet in Zuid-Europa, Ierland en Schotland. Het verspreidingsgebied strekt zich tot diep in AziÃ« uit ten noorden van de Zwarte en Kaspische Zee.In Nederland is winde een vrij algemene vissoort in de grote rivieren en de daarmee verbonden wateren.","Volwassen winde leeft in de hoofdstroom van de langzamer stromende benedenlopen van rivieren en de hiermee in verbinding staande wateren. Juveniele winde groeit op in de ondiepere langzaam stromende oeverzones. Naarmate de dieren groter worden trekken ze naar dieper water. De soort eet voornamelijk dierlijk voedsel, zoals insectenlarven, slakken, mosselen en kleine vissen.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001168,"Winde (Leuciscus idus) behoort tot de familie van de karpers (Cyprinidae) en heeft een langgerekt zijdelings afgeplat lichaam met zilveren flanken en een relatief kleine eindstandige bek. Oudere dieren krijgen vaak een donkere grijs- tot groenbruine kleur. De soort kan 70 centimeter groot worden maar wordt doorgaans niet groter dan 60 centimeter. Vooral de jongere windes worden gemakkelijk verward met andere karperachtigen zoals blankvoorn, kopvoorn, sneep, serpeling en roofblei. Het onderscheid met blankvoorn is te maken op basis van het aantal schubben op de zijlijn (winde: 55-61, blankvoorn :39-48). Kopvoorn heeft een bolronde anaalvin, die van winde is recht tot holrond. Sneep en serpeling hebben een onderstandige bek en sneep heeft een vlezige neus. Roofblei heeft een grote bovenstandige bek met een puntig eindigende onderkaak die in een kuiltje in de bovenkaak valt.",61 cm,fresh,SoortenDash_Images/19.Foto.214117.jpg,sportvisserij_nl + bestaande_db
nl-witvingrondel,Witvingrondel,3,1,Romanogobio belingi,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-zeebaars,Zeebaars,10,1,Dicentrarchus labrax,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-zeedonderpad,Zeedonderpad,10,1,Myoxocephalus scorpius,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-zeeduivel,Zeeduivel,10,1,Lophius piscatorius,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-zeeforel,Zeeforel,25,1,Salmo trutta,zoet,roofvis,roofvis,roofvis,common,no,NL,yes,yes,style_common,Zout,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-zeekarper,Zeekarper,10,1,Spondyliosoma cantharus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-zeelt,Zeelt,8,1,Tinca tinca,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,"Zeelt komt in bijna heel Europa voor met uitzondering van het noorden van Scholtand, ScandinaviÃ« en SiberiÃ« en het zuiden van Griekenland. In Nederland is deze soort te vinden in vrijwel elke watertype.","De voortplanting gebeurt in de periode van mei tot augustus in dichtbegroeide oevers. De jonge dieren verschuilen en voeden zich in de oeverzone. De soort is nachtactief en het voedsel bestaat uit insectenlarven, kreeftachtigen, plantendelen en dood organisch materiaal.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001319,De zeelt (Tinca tinca) behoort tot de familie van de karperachtigen (Cyprinidae) en heeft olijfgroene tot goudkleurige flanken. De soort heeft twee bekdraden die niet altijd goed zichtbaar zijn. Zeelt kan een lengte bereiken van circa 65 centimeter. Jonge zeelten vertonen enige gelijkenis met jonge karper en kroeskarper. Zeelt heeft echter kleine nauwelijks zichtbare schubben en een korte rugvin (12-13 vinstralen).,65 cm (5.1 kg),fresh,SoortenDash_Images/4.Foto.213609.jpg,sportvisserij_nl + bestaande_db
nl-zeeprik,Zeeprik,50,4,Petromyzon marinus,zoet,witvis,witvis,witvis,epic,yes,NL,yes,yes,style_epic,Zout,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-zeewolf,Zeewolf,10,1,Anarhichas lupus,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-zilverkarper,Zilverkarper,20,1,Hypophthalmichthys molitrix,zoet,witvis,karper,witvis,common,no,NL,yes,yes,style_common,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-zonnebaars,Zonnebaars,5,1,Lepomis gibbosus,zoet,roofvis,roofvis,roofvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-zonnevis,Zonnevis,10,1,Zeus faber,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-zwartbekgrondel,Zwartbekgrondel,3,1,Neogobius melanostomus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,21 cm,fresh,SoortenDash_Images/29.Foto.214328.jpg,sportvisserij_nl + bestaande_db
nl-zwarte-amerikaanse-dwergmeerval,Zwarte Amerikaanse dwergmeerval,20,1,Ameiurus melas,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-zwarte-grondel,Zwarte grondel,10,1,Gobius niger,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-zwartooglipvis,Zwartooglipvis,10,1,Symphodus melops,zout,zeevis,zeevis,zeevis,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
vis_baars,Baars,15,Easy,Perca fluviatilis,Europe,roofvis,No,No,Common,Small,50,5,No,No,Zoet,Small,Insects,Spring,Day,School,High,Yes
vis_brasem,Brasem,10,Easy,Abramis brama,Europe,witvis,No,No,Common,Medium,75,7,No,No,Zoet,Medium,Benthos,Summer,Night,School,Medium,Yes
vis_ruisvoorn,Ruisvoorn,10,Easy,Scardinius erythrophthalmus,Europe,witvis,No,No,Common,Small,45,2,No,No,Zoet,Small,Insects,Summer,Day,School,Medium,Yes